,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
19,2022-03-07,19:30,Super League,Matchweek 19,Mon,Home,L,0,1,Jamshedpur,68.0,,Pritam Kotal,4-4-2,Crystal John,Match Report,,17,3,,0,0,2021,Mohun Bagan
20,2022-03-12,19:30,Super League,Semi-finals,Sat,Away,L,1,3,Hyderabad FC,56.0,,Pritam Kotal,4-2-3-1,Rahul Kumar Gupta,Match Report,Leg 1 of 2,11,5,,0,0,2021,Mohun Bagan
21,2022-03-16,19:30,Super League,Semi-finals,Wed,Home,W,1,0,Hyderabad FC,63.0,,Pritam Kotal,3-5-2,R. Venkatesh,Match Report,Leg 2 of 2; Hyderabad FC won,28,8,,0,0,2021,Mohun Bagan
0,2021-11-19,19:30,Super League,Matchweek 1,Fri,Away,L,2,4,Mohun Bagan,65.0,,Jessel Carneiro,4-4-2,Harish Kundu,Match Report,,13,3,,0,0,2021,Kerala Blasters
1,2021-11-25,19:30,Super League,Matchweek 2,Thu,Away,D,0,0,NorthEast Utd,54.0,,Jessel Carneiro,4-2-3-1,Aditya Purkayastha,Match Report,,12,4,,0,0,2021,Kerala Blasters
2,2021-11-28,19:30,Super League,Matchweek 3,Sun,Away,D,1,1,Bengaluru,36.0,,Jessel Carneiro,4-4-2,Banerjee Pranjal,Match Report,,8,1,,0,0,2021,Kerala Blasters
3,2021-12-05,19:30,Super League,Matchweek 4,Sun,Home,W,2,1,Odisha,56.0,,Jessel Carneiro,4-4-2,R. Venkatesh,Match Report,,8,5,,0,0,2021,Kerala Blasters
4,2021-12-12,19:30,Super League,Matchweek 6,Sun,Away,D,1,1,East Bengal,69.0,,Jessel Carneiro,4-4-2,R. Venkatesh,Match Report,,10,2,,0,0,2021,Kerala Blasters
5,2021-12-19,19:30,Super League,Matchweek 7,Sun,Away,W,3,0,Mumbai City,39.0,,Jessel Carneiro,4-4-2,Banerjee Pranjal,Match Report,,14,6,,1,1,2021,Kerala Blasters
6,2021-12-22,19:30,Super League,Matchweek 8,Wed,Away,W,3,0,Chennaiyin,49.0,,Jessel Carneiro,4-4-2,Crystal John,Match Report,,14,7,,0,0,2021,Kerala Blasters
7,2021-12-26,19:30,Super League,Matchweek 9,Sun,Home,D,1,1,Jamshedpur,52.0,,Jessel Carneiro,4-4-2,Pratik Mondal,Match Report,,6,2,,0,0,2021,Kerala Blasters
8,2022-01-02,19:30,Super League,Matchweek 10,Sun,Home,D,2,2,Goa,35.0,,Jessel Carneiro,4-4-2,C. R. Srikrishna,Match Report,,9,2,,0,0,2021,Kerala Blasters
9,2022-01-09,19:30,Super League,Matchweek 11,Sun,Home,W,1,0,Hyderabad FC,44.0,,Jessel Carneiro,4-4-2,Banerjee Pranjal,Match Report,,12,5,,0,0,2021,Kerala Blasters
10,2022-01-12,19:30,Super League,Matchweek 12,Wed,Away,W,2,0,Odisha,53.0,,Adrián Luna,4-4-2,S. Senthil Nathan,Match Report,,17,6,,0,0,2021,Kerala Blasters
11,2022-01-30,19:30,Super League,Matchweek 16,Sun,Home,L,0,1,Bengaluru,53.0,,Harmanjot Khabra,4-4-2,Harish Kundu,Match Report,,13,5,,0,0,2021,Kerala Blasters
12,2022-02-04,19:30,Super League,Matchweek 17,Fri,Home,W,2,1,NorthEast Utd,54.0,,Adrián Luna,4-4-2,Pratik Mondal,Match Report,,15,4,,0,0,2021,Kerala Blasters
13,2022-02-10,19:30,Super League,Matchweek 18,Thu,Away,L,0,3,Jamshedpur,50.0,,Adrián Luna,4-4-2,Ashwin Mohanlal,Match Report,,9,2,,0,0,2021,Kerala Blasters
14,2022-02-14,19:30,Super League,Matchweek 21,Mon,Home,W,1,0,East Bengal,49.0,,Adrián Luna,4-4-2,Aditya Purkayastha,Match Report,,14,5,,0,0,2021,Kerala Blasters
15,2022-02-19,19:30,Super League,Matchweek 14,Sat,Home,D,2,2,Mohun Bagan,39.0,,Adrián Luna,4-4-2,Rahul Kumar Gupta,Match Report,,17,6,,0,0,2021,Kerala Blasters
16,2022-02-23,19:30,Super League,Matchweek 20,Wed,Away,L,1,2,Hyderabad FC,55.0,,Adrián Luna,4-4-2,Harish Kundu,Match Report,,19,7,,0,0,2021,Kerala Blasters
17,2022-02-26,19:30,Super League,Matchweek 19,Sat,Home,W,3,0,Chennaiyin,57.0,,Adrián Luna,4-4-2,Pratik Mondal,Match Report,,16,4,,0,0,2021,Kerala Blasters
18,2022-03-02,19:30,Super League,Matchweek 13,Wed,Home,W,3,1,Mumbai City,40.0,,Adrián Luna,4-4-2,Rahul Kumar Gupta,Match Report,,15,6,,1,1,2021,Kerala Blasters
19,2022-03-06,19:30,Super League,Matchweek 22,Sun,Away,D,4,4,Goa,36.0,,Marko Lešković,4-4-2,Aditya Purkayastha,Match Report,,14,8,,1,1,2021,Kerala Blasters
20,2022-03-11,19:30,Super League,Semi-finals,Fri,Away,W,1,0,Jamshedpur,48.0,,Adrián Luna,4-4-2,Tejas Nagvenkar,Match Report,Leg 1 of 2,5,4,,0,0,2021,Kerala Blasters
21,2022-03-15,19:30,Super League,Semi-finals,Tue,Home,D,1,1,Jamshedpur,45.0,,Adrián Luna,4-4-2,Harish Kundu,Match Report,Leg 2 of 2; Kerala Blasters won,10,4,,0,0,2021,Kerala Blasters
22,2022-03-20,19:30,Super League,Final,Sun,Away,D,1 (1),1 (3),Hyderabad FC,56.0,11500.0,Adrián Luna,4-4-2,Crystal John,Match Report,Hyderabad FC won on penalty kicks following extra time,15,4,,0,0,2021,Kerala Blasters
0,2021-11-22,19:30,Super League,Matchweek 1,Mon,Home,W,3,0,Goa,43.0,,Mourtada Fall,4-2-3-1,Rowan Arumughan,Match Report,,11,6,,1,1,2021,Mumbai City
1,2021-11-27,21:30,Super League,Matchweek 2,Sat,Home,L,1,3,Hyderabad FC,63.0,,Mourtada Fall,4-2-3-1,Pratik Mondal,Match Report,,12,3,,0,0,2021,Mumbai City
2,2021-12-01,19:30,Super League,Matchweek 3,Wed,Away,W,5,1,Mohun Bagan,63.0,,Mourtada Fall,4-2-3-1,C. R. Srikrishna,Match Report,,19,10,,0,0,2021,Mumbai City
3,2021-12-04,21:30,Super League,Matchweek 4,Sat,Away,W,3,1,Bengaluru,54.0,,Mourtada Fall,4-2-3-1,Pranjal Banerji,Match Report,,9,4,,1,1,2021,Mumbai City
4,2021-12-09,19:30,Super League,Matchweek 5,Thu,Home,W,4,2,Jamshedpur,56.0,,Mourtada Fall,4-2-3-1,Aditya Purkayastha,Match Report,,12,8,,0,0,2021,Mumbai City
5,2021-12-15,19:30,Super League,Matchweek 6,Wed,Home,W,1,0,Chennaiyin,70.0,,Mourtada Fall,4-2-3-1,Rowan Arumughan,Match Report,,15,5,,0,0,2021,Mumbai City
6,2021-12-19,19:30,Super League,Matchweek 7,Sun,Home,L,0,3,Kerala Blasters,61.0,,Mourtada Fall,4-2-3-1,Banerjee Pranjal,Match Report,,14,3,,0,0,2021,Mumbai City
7,2021-12-27,19:30,Super League,Matchweek 9,Mon,Away,D,3,3,NorthEast Utd,64.0,,Mandar Rao Dessai,4-2-3-1,Rowan Arumughan,Match Report,,20,7,,0,0,2021,Mumbai City
8,2022-01-03,19:30,Super League,Matchweek 10,Mon,Away,L,2,4,Odisha,61.0,,Mourtada Fall,4-2-3-1,R. Venkatesh,Match Report,,16,8,,0,0,2021,Mumbai City
9,2022-01-07,19:30,Super League,Matchweek 11,Fri,Away,D,0,0,East Bengal,71.0,,Mourtada Fall,4-2-3-1,S. Senthil Nathan,Match Report,,15,2,,0,0,2021,Mumbai City
10,2022-01-10,19:30,Super League,Matchweek 12,Mon,Home,L,0,3,Bengaluru,55.0,,Mourtada Fall,4-2-3-1,C. R. Srikrishna,Match Report,,12,4,,0,0,2021,Mumbai City
11,2022-01-25,19:30,Super League,Matchweek 15,Tue,Home,D,1,1,NorthEast Utd,48.0,,Mourtada Fall,4-4-2,Rowan Arumughan,Match Report,,18,6,,1,1,2021,Mumbai City
12,2022-02-03,19:30,Super League,Matchweek 16,Thu,Home,D,1,1,Mohun Bagan,47.0,,Mourtada Fall,4-2-3-1,Rahul Kumar Gupta,Match Report,,18,2,,0,0,2021,Mumbai City
13,2022-02-06,19:30,Super League,Matchweek 17,Sun,Away,W,1,0,Chennaiyin,57.0,,Mourtada Fall,4-2-3-1,Aditya Purkayastha,Match Report,,12,5,,0,0,2021,Mumbai City
14,2022-02-13,19:30,Super League,Matchweek 22,Sun,Home,W,4,1,Odisha,58.0,,Mourtada Fall,4-2-3-1,S. Senthil Nathan,Match Report,,13,4,,0,0,2021,Mumbai City
15,2022-02-17,19:30,Super League,Matchweek 14,Thu,Away,L,2,3,Jamshedpur,67.0,,Mourtada Fall,4-2-3-1,Harish Kundu,Match Report,,16,8,,1,2,2021,Mumbai City
16,2022-02-22,19:30,Super League,Matchweek 18,Tue,Home,W,1,0,East Bengal,56.0,,Mourtada Fall,4-2-3-1,Ashwin Mohanlal,Match Report,,11,3,,0,0,2021,Mumbai City
17,2022-02-26,21:30,Super League,Matchweek 20,Sat,Away,W,2,0,Goa,33.0,,Mourtada Fall,4-2-3-1,Rahul Kumar Gupta,Match Report,,14,7,,0,0,2021,Mumbai City
18,2022-03-02,19:30,Super League,Matchweek 13,Wed,Away,L,1,3,Kerala Blasters,61.0,,Mourtada Fall,4-2-3-1,Rahul Kumar Gupta,Match Report,,12,1,,1,1,2021,Mumbai City
19,2022-03-05,21:30,Super League,Matchweek 21,Sat,Away,L,1,2,Hyderabad FC,61.0,,Mourtada Fall,4-2-3-1,Harish Kundu,Match Report,,16,2,,0,0,2021,Mumbai City
0,2021-11-20,19:30,Super League,Matchweek 1,Sat,Home,W,4,2,NorthEast Utd,69.0,,Sunil Chhetri,4-2-3-1,Rahul Kumar Gupta,Match Report,,9,4,,0,0,2021,Bengaluru
1,2021-11-24,19:30,Super League,Matchweek 2,Wed,Away,L,1,3,Odisha,67.0,,Sunil Chhetri,4-3-3,R. Venkatesh,Match Report,,16,5,,0,0,2021,Bengaluru
2,2021-11-28,19:30,Super League,Matchweek 3,Sun,Home,D,1,1,Kerala Blasters,64.0,,Sunil Chhetri,4-3-3,Banerjee Pranjal,Match Report,,9,3,,0,0,2021,Bengaluru
3,2021-12-04,21:30,Super League,Matchweek 4,Sat,Home,L,1,3,Mumbai City,46.0,,Sunil Chhetri,4-3-3,Pranjal Banerji,Match Report,,8,3,,0,1,2021,Bengaluru
4,2021-12-08,19:30,Super League,Matchweek 5,Wed,Away,L,0,1,Hyderabad FC,57.0,,Sunil Chhetri,4-3-3,Harish Kundu,Match Report,,10,3,,0,0,2021,Bengaluru
5,2021-12-11,21:30,Super League,Matchweek 6,Sat,Away,L,1,2,Goa,49.0,,Sunil Chhetri,4-3-3,Banerjee Pranjal,Match Report,,12,3,,0,0,2021,Bengaluru
6,2021-12-16,19:30,Super League,Matchweek 7,Thu,Home,D,3,3,Mohun Bagan,50.0,,Gurpreet Singh Sandhu,4-3-3,Crystal John,Match Report,,16,6,,1,1,2021,Bengaluru
7,2021-12-20,19:30,Super League,Matchweek 8,Mon,Away,D,0,0,Jamshedpur,63.0,,Gurpreet Singh Sandhu,4-2-3-1,S. Senthil Nathan,Match Report,,9,2,,0,0,2021,Bengaluru
8,2021-12-30,19:30,Super League,Matchweek 9,Thu,Away,W,4,2,Chennaiyin,53.0,,Gurpreet Singh Sandhu,4-3-3,Rahul Kumar Gupta,Match Report,,14,6,,1,1,2021,Bengaluru
9,2022-01-04,19:30,Super League,Matchweek 10,Tue,Home,D,1,1,East Bengal,74.0,,Gurpreet Singh Sandhu,3-4-3,Harish Kundu,Match Report,,11,2,,0,0,2021,Bengaluru
10,2022-01-10,19:30,Super League,Matchweek 12,Mon,Away,W,3,0,Mumbai City,45.0,,Gurpreet Singh Sandhu,4-3-3,C. R. Srikrishna,Match Report,,19,7,,0,0,2021,Bengaluru
11,2022-01-23,19:30,Super League,Matchweek 14,Sun,Home,D,1,1,Goa,43.0,,Sunil Chhetri,4-3-3,Banerjee Pranjal,Match Report,,12,3,,0,0,2021,Bengaluru
12,2022-01-26,19:30,Super League,Matchweek 15,Wed,Home,W,3,0,Chennaiyin,46.0,,Sunil Chhetri,4-3-3,Pratik Mondal,Match Report,,14,5,,1,1,2021,Bengaluru
13,2022-01-30,19:30,Super League,Matchweek 16,Sun,Away,W,1,0,Kerala Blasters,47.0,,Sunil Chhetri,4-3-3,Harish Kundu,Match Report,,18,4,,0,0,2021,Bengaluru
14,2022-02-05,19:30,Super League,Matchweek 17,Sat,Home,W,3,1,Jamshedpur,59.0,,Sunil Chhetri,4-3-3,C. R. Srikrishna,Match Report,,11,4,,0,0,2021,Bengaluru
15,2022-02-11,19:30,Super League,Matchweek 22,Fri,Home,L,1,2,Hyderabad FC,58.0,,Sunil Chhetri,4-3-3,Tejas Nagvenkar,Match Report,,8,1,,0,0,2021,Bengaluru
16,2022-02-18,19:30,Super League,Matchweek 18,Fri,Away,L,1,2,NorthEast Utd,65.0,,Sunil Chhetri,4-2-3-1,R. Venkatesh,Match Report,,13,5,,0,0,2021,Bengaluru
17,2022-02-21,19:30,Super League,Matchweek 19,Mon,Home,W,2,1,Odisha,50.0,,Cleiton Silva,4-3-3,S. Senthil Nathan,Match Report,,11,5,,1,1,2021,Bengaluru
18,2022-02-27,19:30,Super League,Matchweek 13,Sun,Away,L,0,2,Mohun Bagan,56.0,,Sunil Chhetri,4-3-3,Harish Kundu,Match Report,,15,1,,0,0,2021,Bengaluru
19,2022-03-05,19:30,Super League,Matchweek 20,Sat,Away,W,1,0,East Bengal,62.0,,Sunil Chhetri,4-3-3,S. Senthil Nathan,Match Report,,8,3,,0,0,2021,Bengaluru
0,2021-11-24,19:30,Super League,Matchweek 2,Wed,Home,W,3,1,Bengaluru,33.0,,Vinit Rai,4-3-3,R. Venkatesh,Match Report,,7,5,,0,0,2021,Odisha
1,2021-11-30,19:30,Super League,Matchweek 3,Tue,Home,W,6,4,East Bengal,54.0,,Vinit Rai,4-2-3-1,Harish Kundu,Match Report,,13,7,,0,0,2021,Odisha
2,2021-12-05,19:30,Super League,Matchweek 4,Sun,Away,L,1,2,Kerala Blasters,44.0,,Vinit Rai,4-2-3-1,R. Venkatesh,Match Report,,18,6,,0,0,2021,Odisha
3,2021-12-10,19:30,Super League,Matchweek 5,Fri,Home,W,1,0,NorthEast Utd,62.0,,Vinit Rai,4-2-3-1,S. Senthil Nathan,Match Report,,9,4,,0,0,2021,Odisha
4,2021-12-14,19:30,Super League,Matchweek 6,Tue,Home,L,0,4,Jamshedpur,62.0,,Vinit Rai,4-2-3-1,C. R. Srikrishna,Match Report,,10,2,,0,0,2021,Odisha
5,2021-12-18,19:30,Super League,Matchweek 7,Sat,Away,L,1,2,Chennaiyin,40.0,,Víctor Mongil,4-2-3-1,Pratik Mondal,Match Report,,10,4,,0,0,2021,Odisha
6,2021-12-24,19:30,Super League,Matchweek 8,Fri,Home,D,1,1,Goa,41.0,,Vinit Rai,4-1-4-1,C. R. Srikrishna,Match Report,,12,5,,0,0,2021,Odisha
7,2021-12-28,19:30,Super League,Matchweek 9,Tue,Away,L,1,6,Hyderabad FC,45.0,,Héctor Rodas,4-1-4-1,Ashwin Mohanlal,Match Report,,10,5,,0,0,2021,Odisha
8,2022-01-03,19:30,Super League,Matchweek 10,Mon,Home,W,4,2,Mumbai City,39.0,,Víctor Mongil,4-4-2,R. Venkatesh,Match Report,,9,4,,0,0,2021,Odisha
9,2022-01-12,19:30,Super League,Matchweek 12,Wed,Home,L,0,2,Kerala Blasters,47.0,,Víctor Mongil,4-3-3,S. Senthil Nathan,Match Report,,11,4,,0,0,2021,Odisha
10,2022-01-18,19:30,Super League,Matchweek 13,Tue,Away,W,2,0,NorthEast Utd,46.0,,Víctor Mongil,4-2-3-1,Ashwin Mohanlal,Match Report,,16,7,,0,0,2021,Odisha
11,2022-01-23,21:30,Super League,Matchweek 11,Sun,Away,D,0,0,Mohun Bagan,44.0,,Víctor Mongil,4-2-3-1,Harish Kundu,Match Report,,13,3,,0,0,2021,Odisha
12,2022-01-27,19:30,Super League,Matchweek 15,Thu,Home,L,2,3,Hyderabad FC,50.0,,Víctor Mongil,4-2-3-1,C. R. Srikrishna,Match Report,,7,2,,0,0,2021,Odisha
13,2022-02-01,19:30,Super League,Matchweek 16,Tue,Away,D,1,1,Goa,36.0,,Víctor Mongil,4-2-3-1,S. Senthil Nathan,Match Report,,11,6,,1,1,2021,Odisha
14,2022-02-07,19:30,Super League,Matchweek 17,Mon,Away,W,2,1,East Bengal,54.0,,Víctor Mongil,4-2-3-1,Rowan Arumughan,Match Report,,8,4,,0,0,2021,Odisha
15,2022-02-13,19:30,Super League,Matchweek 22,Sun,Away,L,1,4,Mumbai City,42.0,,Víctor Mongil,4-2-3-1,S. Senthil Nathan,Match Report,,14,3,,0,0,2021,Odisha
16,2022-02-16,19:30,Super League,Matchweek 21,Wed,Home,D,2,2,Chennaiyin,42.0,,Héctor Rodas,4-3-3,Pratik Mondal,Match Report,,20,7,,0,0,2021,Odisha
17,2022-02-21,19:30,Super League,Matchweek 19,Mon,Away,L,1,2,Bengaluru,50.0,,Víctor Mongil,4-2-3-1,S. Senthil Nathan,Match Report,,14,6,,0,0,2021,Odisha
18,2022-02-24,19:30,Super League,Matchweek 18,Thu,Home,D,1,1,Mohun Bagan,37.0,,Víctor Mongil,4-2-3-1,Aditya Purkayastha,Match Report,,13,2,,0,1,2021,Odisha
19,2022-03-04,19:30,Super League,Matchweek 20,Fri,Away,L,1,5,Jamshedpur,40.0,,Jerry Mawihmingthanga,4-2-3-1,Pratik Mondal,Match Report,,4,1,,0,0,2021,Odisha
0,2021-11-23,19:30,Super League,Matchweek 1,Tue,Away,W,1,0,Hyderabad FC,37.0,,Anirudh Thapa,4-1-4-1,Banerjee Pranjal,Match Report,,7,2,,1,1,2021,Chennaiyin
1,2021-11-29,19:30,Super League,Matchweek 3,Mon,Away,W,2,1,NorthEast Utd,50.0,,Anirudh Thapa,4-2-3-1,Ashwin Mohanlal,Match Report,,11,4,,0,0,2021,Chennaiyin
2,2021-12-03,19:30,Super League,Matchweek 4,Fri,Home,D,0,0,East Bengal,58.0,,Anirudh Thapa,4-1-4-1,Crystal John,Match Report,,24,4,,0,0,2021,Chennaiyin
3,2021-12-11,19:30,Super League,Matchweek 5,Sat,Away,D,1,1,Mohun Bagan,58.0,,Anirudh Thapa,3-5-2,Rahul Kumar Gupta,Match Report,,13,2,,0,0,2021,Chennaiyin
4,2021-12-15,19:30,Super League,Matchweek 6,Wed,Away,L,0,1,Mumbai City,31.0,,Anirudh Thapa,5-3-2,Rowan Arumughan,Match Report,,7,2,,0,0,2021,Chennaiyin
5,2021-12-18,19:30,Super League,Matchweek 7,Sat,Home,W,2,1,Odisha,60.0,,Anirudh Thapa,3-1-4-2,Pratik Mondal,Match Report,,21,7,,0,1,2021,Chennaiyin
6,2021-12-22,19:30,Super League,Matchweek 8,Wed,Home,L,0,3,Kerala Blasters,51.0,,Anirudh Thapa,5-3-2,Crystal John,Match Report,,8,0,,0,0,2021,Chennaiyin
7,2021-12-30,19:30,Super League,Matchweek 9,Thu,Home,L,2,4,Bengaluru,47.0,,Anirudh Thapa,3-1-4-2,Rahul Kumar Gupta,Match Report,,9,4,,0,0,2021,Chennaiyin
8,2022-01-02,21:30,Super League,Matchweek 10,Sun,Away,W,1,0,Jamshedpur,40.0,,Anirudh Thapa,3-5-2,Banerjee Pranjal,Match Report,,5,2,,0,0,2021,Chennaiyin
9,2022-01-08,21:30,Super League,Matchweek 11,Sat,Away,L,0,1,Goa,32.0,,Anirudh Thapa,5-3-2,Pratik Mondal,Match Report,,3,1,,0,0,2021,Chennaiyin
10,2022-01-13,19:30,Super League,Matchweek 12,Thu,Home,D,1,1,Hyderabad FC,43.0,,Anirudh Thapa,3-5-2,Rahul Kumar Gupta,Match Report,,10,4,,0,0,2021,Chennaiyin
11,2022-01-22,19:30,Super League,Matchweek 14,Sat,Home,W,2,1,NorthEast Utd,53.0,,Anirudh Thapa,3-5-2,Crystal John,Match Report,,11,4,,0,0,2021,Chennaiyin
12,2022-01-26,19:30,Super League,Matchweek 15,Wed,Away,L,0,3,Bengaluru,54.0,,Vladimir Koman,3-5-2,Pratik Mondal,Match Report,,16,5,,0,0,2021,Chennaiyin
13,2022-02-02,19:30,Super League,Matchweek 16,Wed,Away,D,2,2,East Bengal,52.0,,Anirudh Thapa,3-5-2,Ashwin Mohanlal,Match Report,,8,1,,0,0,2021,Chennaiyin
14,2022-02-06,19:30,Super League,Matchweek 17,Sun,Home,L,0,1,Mumbai City,43.0,,Anirudh Thapa,3-5-2,Aditya Purkayastha,Match Report,,8,0,,0,0,2021,Chennaiyin
15,2022-02-09,19:30,Super League,Matchweek 18,Wed,Home,L,0,5,Goa,37.0,,Anirudh Thapa,3-5-2,Crystal John,Match Report,,7,0,,0,0,2021,Chennaiyin
16,2022-02-16,19:30,Super League,Matchweek 21,Wed,Away,D,2,2,Odisha,58.0,,Anirudh Thapa,4-3-3,Pratik Mondal,Match Report,,14,3,,0,0,2021,Chennaiyin
17,2022-02-20,19:30,Super League,Matchweek 22,Sun,Home,L,1,4,Jamshedpur,53.0,,Anirudh Thapa,4-3-2-1,Tejas Nagvenkar,Match Report,,15,4,,0,0,2021,Chennaiyin
18,2022-02-26,19:30,Super League,Matchweek 19,Sat,Away,L,0,3,Kerala Blasters,43.0,,Anirudh Thapa,4-1-4-1,Pratik Mondal,Match Report,,7,0,,0,0,2021,Chennaiyin
19,2022-03-03,19:30,Super League,Matchweek 20,Thu,Home,L,0,1,Mohun Bagan,41.0,,Vladimir Koman,4-1-4-1,Crystal John,Match Report,,16,5,,0,0,2021,Chennaiyin
0,2021-11-22,19:30,Super League,Matchweek 1,Mon,Away,L,0,3,Mumbai City,57.0,,Edu Bedia,4-2-3-1,Rowan Arumughan,Match Report,,8,1,,0,0,2021,Goa
1,2021-11-26,19:30,Super League,Matchweek 2,Fri,Home,L,1,3,Jamshedpur,75.0,,Edu Bedia,4-2-3-1,S. Senthil Nathan,Match Report,,13,3,,0,0,2021,Goa
2,2021-12-04,19:30,Super League,Matchweek 4,Sat,Away,L,1,2,NorthEast Utd,68.0,,Iván Garrido González,4-2-3-1,Rahul Kumar Gupta,Match Report,,22,9,,0,0,2021,Goa
3,2021-12-07,19:30,Super League,Matchweek 5,Tue,Away,W,4,3,East Bengal,72.0,,Edu Bedia,4-2-3-1,C. R. Srikrishna,Match Report,,18,6,,1,1,2021,Goa
4,2021-12-11,21:30,Super League,Matchweek 6,Sat,Home,W,2,1,Bengaluru,52.0,,Edu Bedia,3-4-1-2,Banerjee Pranjal,Match Report,,7,4,,0,0,2021,Goa
5,2021-12-18,21:30,Super League,Matchweek 7,Sat,Home,D,1,1,Hyderabad FC,61.0,,Edu Bedia,3-4-1-2,R. Venkatesh,Match Report,,11,4,,0,0,2021,Goa
6,2021-12-24,19:30,Super League,Matchweek 8,Fri,Away,D,1,1,Odisha,59.0,,Edu Bedia,3-4-1-2,C. R. Srikrishna,Match Report,,11,4,,0,0,2021,Goa
7,2021-12-29,19:30,Super League,Matchweek 9,Wed,Away,L,1,2,Mohun Bagan,54.0,,Iván Garrido González,3-4-1-2,Crystal John,Match Report,,14,4,,0,0,2021,Goa
8,2022-01-02,19:30,Super League,Matchweek 10,Sun,Away,D,2,2,Kerala Blasters,65.0,,Edu Bedia,3-4-1-2,C. R. Srikrishna,Match Report,,21,7,,0,0,2021,Goa
9,2022-01-08,21:30,Super League,Matchweek 11,Sat,Home,W,1,0,Chennaiyin,68.0,,Edu Bedia,3-4-3,Pratik Mondal,Match Report,,16,5,,0,0,2021,Goa
10,2022-01-14,19:30,Super League,Matchweek 12,Fri,Home,D,1,1,NorthEast Utd,67.0,,Glan Martins,3-4-1-2,R. Venkatesh,Match Report,,25,8,,0,0,2021,Goa
11,2022-01-19,19:30,Super League,Matchweek 13,Wed,Home,L,1,2,East Bengal,71.0,,Edu Bedia,3-4-1-2,Aditya Purkayastha,Match Report,,18,4,,0,0,2021,Goa
12,2022-01-23,19:30,Super League,Matchweek 14,Sun,Away,D,1,1,Bengaluru,57.0,,Seriton Fernandes,3-4-1-2,Banerjee Pranjal,Match Report,,10,2,,0,0,2021,Goa
13,2022-01-28,19:30,Super League,Matchweek 15,Fri,Away,L,0,1,Jamshedpur,70.0,,Iván Garrido González,4-2-3-1,Aditya Purkayastha,Match Report,,12,2,,0,0,2021,Goa
14,2022-02-01,19:30,Super League,Matchweek 16,Tue,Home,D,1,1,Odisha,65.0,,Brandon Fernandes,4-2-3-1,S. Senthil Nathan,Match Report,,24,7,,0,0,2021,Goa
15,2022-02-09,19:30,Super League,Matchweek 18,Wed,Away,W,5,0,Chennaiyin,63.0,,Iván Garrido González,4-2-3-1,Crystal John,Match Report,,18,7,,0,0,2021,Goa
16,2022-02-15,19:30,Super League,Matchweek 21,Tue,Home,L,0,2,Mohun Bagan,71.0,,Brandon Fernandes,4-2-3-1,Crystal John,Match Report,,16,4,,0,0,2021,Goa
17,2022-02-19,21:30,Super League,Matchweek 19,Sat,Away,L,2,3,Hyderabad FC,61.0,,Iván Garrido González,4-2-3-1,Rowan Arumughan,Match Report,,14,7,,0,0,2021,Goa
18,2022-02-26,21:30,Super League,Matchweek 20,Sat,Home,L,0,2,Mumbai City,67.0,,Iván Garrido González,4-2-3-1,Rahul Kumar Gupta,Match Report,,15,3,,0,1,2021,Goa
19,2022-03-06,19:30,Super League,Matchweek 22,Sun,Home,D,4,4,Kerala Blasters,64.0,,Iván Garrido González,3-5-2,Aditya Purkayastha,Match Report,,15,7,,1,1,2021,Goa
0,2021-11-20,19:30,Super League,Matchweek 1,Sat,Away,L,2,4,Bengaluru,31.0,,Subhasish Roy Chowdhury,4-3-3,Rahul Kumar Gupta,Match Report,,12,4,,0,0,2021,NorthEast United
1,2021-11-25,19:30,Super League,Matchweek 2,Thu,Home,D,0,0,Kerala Blasters,47.0,,Hernán,4-4-2,Aditya Purkayastha,Match Report,,7,0,,0,0,2021,NorthEast United
2,2021-11-29,19:30,Super League,Matchweek 3,Mon,Home,L,1,2,Chennaiyin,50.0,,Khassa Camara,4-3-3,Ashwin Mohanlal,Match Report,,11,3,,0,0,2021,NorthEast United
3,2021-12-04,19:30,Super League,Matchweek 4,Sat,Home,W,2,1,Goa,33.0,,Subhasish Roy Chowdhury,4-3-3,Rahul Kumar Gupta,Match Report,,10,4,,0,0,2021,NorthEast United
4,2021-12-10,19:30,Super League,Matchweek 5,Fri,Away,L,0,1,Odisha,38.0,,Hernán,4-3-3,S. Senthil Nathan,Match Report,,19,2,,0,0,2021,NorthEast United
5,2021-12-13,19:30,Super League,Matchweek 6,Mon,Away,L,1,5,Hyderabad FC,48.0,,Subhasish Roy Chowdhury,4-2-3-1,Ashwin Mohanlal,Match Report,,11,5,,0,0,2021,NorthEast United
6,2021-12-17,19:30,Super League,Matchweek 7,Fri,Home,W,2,0,East Bengal,54.0,,Khassa Camara,4-4-2,Rahul Kumar Gupta,Match Report,,20,7,,0,0,2021,NorthEast United
7,2021-12-21,19:30,Super League,Matchweek 8,Tue,Home,L,2,3,Mohun Bagan,41.0,,Khassa Camara,4-4-2,Harish Kundu,Match Report,,17,5,,0,0,2021,NorthEast United
8,2021-12-27,19:30,Super League,Matchweek 9,Mon,Home,D,3,3,Mumbai City,36.0,,Hernán,4-3-3,Rowan Arumughan,Match Report,,16,9,,0,0,2021,NorthEast United
9,2022-01-06,19:30,Super League,Matchweek 11,Thu,Away,L,2,3,Jamshedpur,54.0,,Hernán,4-2-3-1,Rowan Arumughan,Match Report,,8,3,,0,0,2021,NorthEast United
